mssubclass,mszoning,lotfrontage,lotarea,street,alley,lotshape,landcontour,lotconfig,landslope,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,lowqualfinsf,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,poolqc,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,price_per_sqft
60,RL,65.0,8450,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,0,1,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,2003.0,RFn,2,TA,TA,Y,0,61,0,0,0,0,None,None,None,0,2,2008,WD,Normal,121.9298245614035
20,RL,80.0,9600,Pave,None,Reg,Lvl,FR2,Gtl,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,0,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,TA,TA,Y,298,0,0,0,0,0,None,None,None,0,5,2007,WD,Normal,143.81933438985737
60,RL,68.0,11250,Pave,None,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,0,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,TA,TA,Y,0,42,0,0,0,0,None,None,None,0,9,2008,WD,Normal,125.13997760358343
70,RL,60.0,9550,Pave,None,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,0,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,TA,TA,Y,0,35,272,0,0,0,None,None,None,0,2,2006,WD,Abnorml,81.537565521258
60,RL,84.0,14260,Pave,None,IR1,Lvl,FR2,Gtl,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,0,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,TA,TA,Y,192,84,0,0,0,0,None,None,None,0,12,2008,WD,Normal,113.73976342129208
50,RL,85.0,14115,Pave,None,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,0,1,0,1,1,1,1,TA,5,Typ,0,None,Attchd,1993.0,Unf,2,TA,TA,Y,40,30,0,320,0,0,None,MnPrv,Shed,700,10,2009,WD,Normal,104.99265785609398
20,RL,75.0,10084,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,TA,TA,Y,255,57,0,0,0,0,None,None,None,0,8,2007,WD,Normal,181.22786304604486
60,RL,80.0,10382,Pave,None,IR1,Lvl,Corner,Gtl,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,0,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,TA,TA,Y,235,204,228,0,0,0,None,None,Shed,350,11,2009,WD,Normal,95.69377990430623
50,RM,51.0,6120,Pave,None,Reg,Lvl,Inside,Gtl,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,0,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,Fa,TA,Y,90,0,205,0,0,0,None,None,None,0,4,2008,WD,Abnorml,73.22435174746336
190,RL,50.0,7420,Pave,None,Reg,Lvl,Corner,Gtl,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,0,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,Gd,TA,Y,0,4,0,0,0,0,None,None,None,0,1,2008,WD,Normal,109.5636025998143
20,RL,70.0,11200,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,0,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,1965.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,2,2008,WD,Normal,124.51923076923077
60,RL,85.0,11924,Pave,None,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,0,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,TA,TA,Y,147,21,0,0,0,0,None,None,None,0,7,2006,New,Partial,148.4509466437177
20,RL,71.0,12968,Pave,None,IR2,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,0,1,0,1,0,2,1,TA,4,Typ,0,None,Detchd,1962.0,Unf,1,TA,TA,Y,140,0,0,0,176,0,None,None,None,0,9,2008,WD,Normal,157.89473684210526
20,RL,91.0,10652,Pave,None,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,TA,TA,Y,160,33,0,0,0,0,None,None,None,0,8,2007,New,Partial,187.08165997322624
20,RL,73.0,10920,Pave,None,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,0,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,TA,TA,Y,0,213,176,0,0,0,None,GdWo,None,0,5,2008,WD,Normal,125.29928172386273
45,RM,51.0,6120,Pave,None,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,0,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,1991.0,Unf,2,TA,TA,Y,48,112,0,0,0,0,None,GdPrv,None,0,7,2007,WD,Normal,154.56674473067915
20,RL,73.0,11241,Pave,None,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,0,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,700,3,2010,WD,Normal,148.40637450199202
90,RL,72.0,10791,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0,None,0,0,0,GasA,TA,Y,SBrkr,0,0,0,2,0,2,2,TA,6,Typ,0,None,CarPort,1967.0,Unf,2,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,500,10,2006,WD,Normal,69.44444444444444
20,RL,66.0,13695,Pave,None,Reg,Lvl,Inside,Gtl,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,0,1,0,1,1,3,1,Gd,6,Typ,0,None,Detchd,2004.0,Unf,2,TA,TA,Y,0,102,0,0,0,0,None,None,None,0,6,2008,WD,Normal,142.72890484739676
20,RL,70.0,7560,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,0,0,0,1,0,3,1,TA,6,Min1,0,None,Attchd,1958.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2009,COD,Abnorml,103.80881254667662
60,RL,101.0,14215,Pave,None,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,TA,TA,Y,240,154,0,0,0,0,None,None,None,0,11,2006,New,Partial,136.91077441077442
45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,Inside,Gtl,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,0,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,TA,TA,N,0,0,205,0,0,0,None,GdPrv,None,0,6,2007,WD,Normal,125.81227436823104
20,RL,75.0,9742,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,TA,TA,Y,171,159,0,0,0,0,None,None,None,0,9,2008,WD,Normal,128.13370473537606
120,RM,44.0,4224,Pave,None,Reg,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,0,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,TA,TA,Y,100,110,0,0,0,0,None,None,None,0,6,2007,WD,Normal,122.54716981132076
20,RL,71.0,8246,Pave,None,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,0,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,TA,TA,Y,406,90,0,0,0,0,None,MnPrv,None,0,5,2010,WD,Normal,145.28301886792454
20,RL,110.0,14230,Pave,None,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,TA,TA,Y,0,56,0,0,0,0,None,None,None,0,7,2009,WD,Normal,160.1875
